track_id,track_name,artist,genre,album_type,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo
track_00001,Song Title 1,Ariana Grande,pop,single,70,264051,0,0.596,0.695,5,-7.37,0,0.041,0.052,0.342,104.6
track_00002,Song Title 2,Bad Bunny,rock,single,80,245955,0,0.697,0.426,2,-13.45,1,0.2,0.157,0.119,166.4
track_00003,Song Title 3,Olivia Rodrigo,r&b,single,68,153985,0,0.643,0.744,4,-9.13,1,0.036,0.066,0.609,121.1
track_00004,Song Title 4,Doja Cat,r&b,album,60,260564,0,0.774,0.832,9,-8.18,1,0.155,0.618,0.475,127.5
track_00005,Song Title 5,Kendrick Lamar,dance/electronic,album,69,171144,1,0.834,0.695,7,-11.9,1,0.187,0.428,0.562,103.8
track_00006,Song Title 6,Post Malone,indie,single,58,237288,1,0.638,0.648,9,-7.65,1,0.055,0.626,0.409,96.7
track_00007,Song Title 7,Olivia Rodrigo,pop,album,58,174283,0,0.712,0.562,1,-11.35,0,0.047,0.208,0.519,131.9
track_00008,Song Title 8,Dua Lipa,pop,album,72,189169,1,0.917,0.928,11,-7.65,0,0.115,0.177,0.552,125.4
track_00009,Song Title 9,Ariana Grande,hip-hop,single,66,137988,0,0.651,0.804,4,-8.79,1,0.098,0.09,0.478,100.3
track_00010,Song Title 10,BTS,dance/electronic,album,46,274882,0,0.515,0.718,10,-10.24,1,0.032,0.472,0.477,84.0
track_00011,Song Title 11,Drake,latin,album,70,230119,0,0.658,0.442,7,-12.84,1,0.009,0.169,0.678,88.3
track_00012,Song Title 12,Ariana Grande,latin,album,67,232179,1,0.461,0.857,0,-4.15,1,0.025,0.051,0.569,149.9
track_00013,Song Title 13,Kendrick Lamar,hip-hop,album,64,192749,0,0.924,0.602,9,-11.06,1,0.011,0.491,0.318,104.7
track_00014,Song Title 14,Kendrick Lamar,hip-hop,album,47,177423,0,0.541,0.456,9,-17.22,0,0.028,0.143,0.258,111.5
track_00015,Song Title 15,Post Malone,hip-hop,album,62,237178,0,0.957,0.765,10,-8.13,1,0.024,0.171,0.38,156.3
track_00016,Song Title 16,Dua Lipa,indie,single,83,167890,0,0.461,0.657,11,-9.81,1,0.081,0.322,0.326,91.9
track_00017,Song Title 17,Bad Bunny,indie,album,65,204150,0,0.754,0.767,11,-8.18,1,0.247,0.045,0.507,101.8
track_00018,Song Title 18,Post Malone,rock,album,80,166224,1,0.754,0.764,3,-9.03,1,0.093,0.059,0.116,100.8
track_00019,Song Title 19,Post Malone,rock,single,76,214338,1,0.8,0.773,4,-7.2,1,0.209,0.039,0.359,160.5
track_00020,Song Title 20,Drake,hip-hop,single,40,142908,0,0.789,0.777,9,-7.43,0,0.123,0.116,0.485,169.8
track_00021,Song Title 21,Ed Sheeran,dance/electronic,single,95,158179,1,0.7,0.944,11,-4.94,1,0.104,0.143,0.495,138.8
track_00022,Song Title 22,Dua Lipa,pop,single,81,179906,0,0.674,0.802,10,-6.34,0,0.043,0.003,0.587,139.6
track_00023,Song Title 23,Taylor Swift,indie,album,64,231516,1,0.841,0.719,2,-9.35,1,0.031,0.103,0.229,105.5
track_00024,Song Title 24,Post Malone,dance/electronic,album,76,191403,0,0.81,0.85,11,-7.38,0,0.15,0.03,0.48,168.7
track_00025,Song Title 25,Coldplay,r&b,album,55,244425,0,0.686,0.619,1,-7.34,0,0.189,0.019,0.269,126.7
